signal_date,trade_date,session,direction,direction_zh,total_score,tw_score,intl_score,news_score,entry_price,exit_price,pnl_points,pnl_nts,win,status
2019-07-26,2019-07-29,day,1,做多▲,8,8,0,0,10874,10885,11.1,61,True,sim_v50
2019-07-29,2019-07-30,day,1,做多▲,5,5,0,0,10911,10830,-81.1,-861,False,sim_v50
2019-07-30,2019-07-31,day,1,做多▲,0,0,0,0,10825,10823,-2.3,-73,False,sim_v50
2019-07-31,2019-08-01,day,0,觀望─,-6,-6,0,0,,,,,,sim_v50_skip
2019-08-01,2019-08-02,day,0,觀望─,-7,-7,0,0,,,,,,sim_v50_skip
2019-08-02,2019-08-05,day,0,觀望─,-4,-4,0,0,,,,,,sim_v50_skip
2019-08-05,2019-08-06,day,-1,做空▼,-7,-7,0,0,10304,10396,-91.9,-969,False,sim_v50
2019-08-06,2019-08-07,day,-1,做空▼,-7,-7,0,0,10422,10387,34.7,297,True,sim_v50
2019-08-07,2019-08-08,day,-1,做空▼,-7,-7,0,0,10383,10495,-112.9,-1179,False,sim_v50
2019-08-08,2019-08-12,day,-1,做空▼,-5,-5,0,0,10491,10473,17.4,124,True,sim_v50
2019-08-12,2019-08-13,day,-1,做空▼,-5,-5,0,0,10436,10364,72.0,670,True,sim_v50
2019-08-13,2019-08-14,day,0,觀望─,-6,-6,0,0,,,,,,sim_v50_skip
2019-08-14,2019-08-15,day,-1,做空▼,-6,-6,0,0,10374,10328,45.6,406,True,sim_v50
2019-08-15,2019-08-16,day,-1,做空▼,-6,-6,0,0,10344,10422,-77.5,-825,False,sim_v50
2019-08-16,2019-08-19,day,-1,做空▼,-5,-5,0,0,10448,10490,-41.4,-464,False,sim_v50
2019-08-19,2019-08-20,day,-1,做空▼,-8,-8,0,0,10507,10524,-16.1,-211,False,sim_v50
2019-08-20,2019-08-21,day,0,觀望─,-3,-3,0,0,,,,,,sim_v50_skip
2019-08-21,2019-08-22,day,0,觀望─,0,0,0,0,,,,,,sim_v50_skip
2019-08-22,2019-08-23,day,0,觀望─,0,0,0,0,,,,,,sim_v50_skip
2019-08-23,2019-08-26,day,0,觀望─,1,1,0,0,,,,,,sim_v50_skip
2019-08-26,2019-08-27,day,0,觀望─,-1,-1,0,0,,,,,,sim_v50_skip
2019-08-27,2019-08-28,day,0,觀望─,-1,-1,0,0,,,,,,sim_v50_skip
2019-08-28,2019-08-29,day,-1,做空▼,-3,-3,0,0,10439,10463,-24.3,-293,False,sim_v50
2019-08-29,2019-08-30,day,0,觀望─,2,2,0,0,,,,,,sim_v50_skip
2019-08-30,2019-09-02,day,0,觀望─,5,5,0,0,,,,,,sim_v50_skip
2019-09-02,2019-09-03,day,1,做多▲,9,9,0,0,10630,10557,-73.0,-780,False,sim_v50
2019-09-03,2019-09-04,day,1,做多▲,8,8,0,0,10567,10656,89.0,840,True,sim_v50
2019-09-04,2019-09-05,day,1,做多▲,8,8,0,0,10719,10756,36.5,315,True,sim_v50
2019-09-05,2019-09-06,day,1,做多▲,9,9,0,0,10784,10780,-4.8,-98,False,sim_v50
2019-09-06,2019-09-10,day,1,做多▲,10,10,0,0,10793,10753,-40.4,-454,False,sim_v50
